id,eventcode,col3,col4,col5,time
753,5,0,0,0.0000,2547999
754,201,0,0,0.0000,2548639
755,3,0,0,0.0000,2550474
756,202,0,0,0.0000,2551231
757,7,0,0,0.0000,2552724
758,201,0,0,0.0000,2553472
759,3,0,0,0.0000,2555116
760,202,0,0,0.0000,2555648
761,7,0,0,0.0000,2557383
762,202,0,0,0.0000,2558016
763,5,0,0,0.0000,2559641
764,202,0,0,0.0000,2560609
765,5,0,0,0.0000,2562033
766,201,0,0,0.0000,2562737
767,5,0,0,0.0000,2564333
768,202,0,0,0.0000,2564961
769,5,0,0,0.0000,2566925
770,201,0,0,0.0000,2567458
771,7,0,0,0.0000,2569408
772,201,0,0,0.0000,2570178
773,3,0,0,0.0000,2571942
774,202,0,0,0.0000,2572578
775,7,0,0,0.0000,2574283
776,201,0,0,0.0000,2575219
777,3,0,0,0.0000,2576800
778,202,0,0,0.0000,2577379
779,7,0,0,0.0000,2579158
780,201,0,0,0.0000,2579891
781,3,0,0,0.0000,2581383
782,202,0,0,0.0000,2582068
783,7,0,0,0.0000,2583892
784,201,0,0,0.0000,2584404
785,7,0,0,0.0000,2586359
786,202,0,0,0.0000,2587301
787,5,0,0,0.0000,2588875
788,201,0,0,0.0000,2589445
789,7,0,0,0.0000,2591367
790,201,0,0,0.0000,2592085
791,3,0,0,0.0000,2593692
792,202,0,0,0.0000,2594326
793,3,0,0,0.0000,2596126
794,201,0,0,0.0000,2596758
795,3,0,0,0.0000,2598426
796,202,0,0,0.0000,2599062
797,3,0,0,0.0000,2600992
798,201,0,0,0.0000,2601543
799,5,0,0,0.0000,2603351
800,202,0,0,0.0000,2603975
801,5,0,0,0.0000,2605776
802,201,0,0,0.0000,2606343
803,7,0,0,0.0000,2608076
804,202,0,0,0.0000,2608680
805,3,0,0,0.0000,2610334
806,201,0,0,0.0000,2610872
807,7,0,0,0.0000,2612734
808,202,0,0,0.0000,2613400
809,7,0,0,0.0000,2615176
810,201,0,0,0.0000,2615737
811,3,0,0,0.0000,2617518
812,202,0,0,0.0000,2618089
813,5,0,0,0.0000,2619943
814,201,0,0,0.0000,2620569
815,3,0,0,0.0000,2622460
816,202,0,0,0.0000,2623130
817,7,0,0,0.0000,2624760
818,201,0,0,0.0000,2625386
819,203,0,0,0.0000,2675634
820,5,0,0,0.0000,2680636
821,203,0,0,0.0000,2681506
822,201,0,0,0.0000,2682051
823,7,0,0,0.0000,2690311
824,201,0,0,0.0000,2690756
825,3,0,0,0.0000,2692662
826,201,0,0,0.0000,2693284
